sad_group,Frequent (20~30 days),Light (1~5 days),Moderate (6~19 days),Frequent (20~30 days) (%),Light (1~5 days) (%),Moderate (6~19 days) (%)
Sad/Hopeless: No,514,687,307,34.1,45.6,20.4
Sad/Hopeless: Yes,396,437,231,37.2,41.1,21.7
