behavior_combination,no_count,yes_count,no_percent,yes_percent
Alcohol + Marijuana,487,249,5.943373199902367,7.488721804511278
Alcohol only,1659,775,20.246521845252623,23.308270676691727
All three,685,535,8.359775445447887,16.090225563909772
Cigarette + Alcohol,445,292,5.430803026604833,8.781954887218046
Cigarette + Marijuana,59,39,0.7200390529655846,1.1729323308270676
Cigarette only,126,64,1.5377105198926042,1.9248120300751879
Marijuana only,139,73,1.6963631925799365,2.1954887218045114
None,4594,1298,56.06541371735416,39.037593984962406
