behavior_combination,no_count,yes_count,no_percent,yes_percent
All three,375,194,4.576519404442275,5.834586466165414
Fruit + Salad,221,112,2.6970954356846475,3.3684210526315788
Fruit + Vegetables,632,235,7.712960702953381,7.067669172932331
Fruit only,1107,395,13.509885281913595,11.879699248120302
None,5047,2077,61.59384915792043,62.46616541353384
Salad + Vegetables,87,39,1.0617525018306078,1.1729323308270676
Salad only,144,72,1.7573834513058335,2.1654135338345863
Vegetables only,581,201,7.090554063949231,6.045112781954887
