measure,value
p_yes,0.2760768033212247
p_no,0.16180257510729615
difference_p_yes_minus_p_no,0.11427422821392855
ci_low_95,0.09830183164541172
ci_high_95,0.13024662478244536
z_statistic,15.053641031321341
p_value,3.2674477555382817e-51
alpha,0.05
decision,Reject H0
